PUBCHEM_CID,PUBCHEM_SID,SAMPLE_NAME
713,144213141,Formamide
727,144208975,"1,2,3,4,5,6-Hexachlorocyclohexane"
727,144209488,beta-Hexachlorocyclohexane
727,144211270,Lindane
727,144213242,"1,2,3,4,5,6-Hexachlorocyclohexane"
727,144204846,"1,2,3,4,5,6-Hexachlorocyclohexane"
727,144210941,beta-Hexachlorocyclohexane
727,144207874,"alpha-1,2,3,4,5,6-Hexachlorocyclohexane"
727,144209267,Lindane
727,251919672,delta-Hexachlorocyclohexane
743,144213188,Pentanedioic acid
743,144209646,Pentanedioic acid
750,144207124,Glycine
750,170466831,Glycine
753,144209275,Glycerol
753,144210464,Glycerol
753,144204594,Glycerol
757,144211615,Glycolic acid
774,144203717,Histamine dihydrochloride
774,170465001,Histamine dihydrochloride
785,144210335,Hydroquinone
785,144209543,Hydroquinone
785,144203720,Hydroquinone
785,170464661,Hydroquinone
790,144205064,Hypoxanthine
790,170466739,Hypoxanthine
791,144206318,DL-Isoleucine
791,170465505,DL-Isoleucine
795,144208702,Imidazole
795,144213662,Imidazole
798,144213254,Indole
798,144208875,Indole
798,144206089,Indole
798,170465733,Indole
802,144209482,Indole-3-acetic acid
802,144213048,Indole-3-acetic acid
803,144211682,Indole-3-pyruvic acid
807,144211611,Iodine
811,144208497,Methylenebutanedioic acid
811,144213388,Methylenebutanedioic acid
863,144205870,alpha-Lipoic acid amide
863,170465868,alpha-Lipoic acid amide
864,144209006,alpha-Lipoic acid
864,144203836,alpha-Lipoic acid
864,144213409,alpha-Lipoic acid
864,170465713,alpha-Lipoic acid
867,144207732,Propanedioic acid
875,144212369,dl-Tartaric acid
876,144205216,dl-Methionine
880,251919647,Methyl glyoxal
887,144204645,Methanol
887,144209721,Methanol
892,144205195,myo-Inositol
892,144212352,myo-Inositol
892,170465541,myo-Inositol
896,144203746,Melatonin
896,144213243,Melatonin
896,144208725,Melatonin
896,170465589,Melatonin
904,144204664,Acetanilide
904,144208123,Acetanilide
904,170465493,Acetanilide
931,144204574,Naphthalene
931,144210328,Naphthalene
931,144209202,Naphthalene
936,144213093,Niacinamide
936,144204753,Niacinamide
936,144208914,Niacinamide
936,170464905,Niacinamide
938,144213221,Nicotinic acid
938,144208618,Nicotinic acid
938,144203888,Niacin
938,170465044,Niacin
949,144210356,"N,N-Dimethylaniline"
949,144209011,"N,N-Dimethylaniline"
957,144210416,1-Octanol
957,144208571,1-Octanol
967,144208302,Orotic acid
967,144204672,Orotic acid
967,170465761,Orotic acid
970,144208413,2-Oxobutanedioic acid
971,144209320,Oxalic acid
971,144213663,Oxalic acid
978,144204620,4-Aminobenzoic acid
978,144210407,4-Aminobenzoic acid
978,144208900,4-Aminobenzoic acid
978,170466660,4-Aminobenzoic acid
980,144210437,4-Nitrophenol
980,144209642,4-Nitrophenol
985,144213283,Hexadecanoic acid
985,144205658,Hexadecanoic acid
985,144208869,Hexadecanoic acid
985,170465588,Hexadecanoic acid
991,144209203,Parathion
991,144210980,Parathion
992,144209329,Pentachlorophenol
992,144210343,Pentachlorophenol
994,144203562,Phenylalanine
995,144208836,Phenanthrene
995,144210890,Phenanthrene
996,144210362,Phenol
996,144208837,Phenol
996,144207012,Phenol
996,170465486,Phenol
997,144211679,Phenylpyruvic acid
998,144208780,Phenylacetaldehyde
998,144213262,Phenylacetaldehyde
999,144207731,Phenylacetic acid
999,144206593,Phenylacetic acid
999,170465102,Phenylacetic acid
1004,144209483,Phosphoric acid
1004,144204604,Phosphoric acid
1004,144213563,Phosphoric acid
1017,144208113,Phthalic acid
1018,144210151,Picolinic acid
1018,144205835,Picolinic acid
1018,170466822,Picolinic acid
1030,144211758,Polypropylene glycol
1030,144204554,"1,2-Propylene glycol"
1030,144210326,"1,2-Propylene glycol"
1030,144209010,"1,2-Propylene glycol"
1031,144212757,1-Propanol
1032,251919690,Propionic acid
1046,144209257,Pyrazinamide
1046,144213088,Pyrazinamide
1046,144203788,Pyrazinamide
1046,170464703,Pyrazinamide
1049,144208158,Pyridine
1050,144205114,Pyridoxal
1050,170466865,Pyridoxal
1053,144206246,Pyridoxamine phosphate
1054,144207193,Pyridoxine
1054,144210683,Pyridoxine
1054,170464634,Pyridoxine
1057,144209571,Pyrogallol
1057,144204694,Pyrogallol
1060,144213601,2-Oxopropanoic acid
1060,144209294,2-Oxopropanoic acid
1066,144212368,"2,3-Pyridinedicarboxylic acid"
1080,144205211,Carbocysteine
1080,170465800,Carbocysteine
1091,144207605,Selenious acid
1110,144205165,Butanedioic acid
1110,144209116,Butanedioic acid
1110,144213564,Butanedioic acid
1110,170465738,Butanedioic acid
1118,144207681,Sulfuric acid
1123,144209718,l-Taurine
1123,144203828,Taurine
1123,170465726,Taurine
1127,251919825,Tetrahydrothiophene
1133,144213623,Thioglycolic acid
1133,144208915,Thioglycolic acid
1135,251919935,Thymine
1136,144212504,Thiamine thiozole
1140,144204593,Toluene
1140,144208422,Toluene
1146,144212672,Trimethylamine
1148,144209991,dl-Tryptophan
1174,144206233,Uracil
1174,144208221,Uracil
1174,170465915,Uracil
1175,144207112,Uric acid
1176,144209356,Urea
1176,144210355,Urea
1176,144204587,Urea
1183,144210670,4-Hydroxy-3-methoxybenzaldehyde
1183,144209123,4-Hydroxy-3-methoxybenzaldehyde
1183,144207083,4-Hydroxy-3-methoxybenzaldehyde
1183,170466786,4-Hydroxy-3-methoxybenzaldehyde
1254,144213774,Menthol
1254,144207208,Menthol
1318,144213428,"1,10-Phenanthroline"
1318,144209196,"1,10-Phenanthroline"
1345,144210937,PK 11195
1355,144203661,1-(3-Chlorophenyl)piperazine
1355,170466760,1-(3-Chlorophenyl)piperazine
1359,144203840,1-[2-(Trifluoromethyl)phenyl]-1H-imidazole
1359,170466868,1-[2-(Trifluoromethyl)phenyl]-1H-imidazole
1390,251919921,1-Methylimidazole
1474,144211747,"2,2'-Dipyridyl"
1480,144213199,"2,4,5-Trichlorophenoxyacetic acid"
1480,144208803,"2,4,5-Trichlorophenoxyacetic acid"
1483,144208471,"2,4,6-Tribromophenol"
1483,144213289,"2,4,6-Tribromophenol"
1483,144204649,"2,4,6-Tribromophenol"
1483,170466870,"2,4,6-Tribromophenol"
1486,144211207,"2,4-Dichlorophenoxyacetic acid"
1486,144208949,"2,4-Dichlorophenoxyacetic acid"
1488,144211739,"2,4-D-methyl"
1489,144214041,"2,4-DB"
1491,144209669,"2,4-Dihydroxybenzoic acid"
1493,144208660,"2,4-Dinitrophenol"
1493,144210350,"2,4-Dinitrophenol"
1533,144211914,4-Methylpyridin-2-amine
1539,144210169,2-Aminofluorene
1639,144213308,Amitrole
1639,144208980,Amitrole
1672,144208448,3-Methoxypropylamine
1672,144213382,3-Methoxypropylamine
1674,144209790,3-Methylcholanthrene
1676,144203783,Enprofylline
1678,144213324,3-Nitropropionic acid
1678,144209658,3-Nitropropionic acid
1684,170466405,Pleconaril
1687,144203645,Clobenztropine
1727,144203616,4-Aminopyridine
1727,144207991,4-Aminopyridine
1727,170466526,4-Aminopyridine
1730,144212178,4-Chloromercuribenzoic acid
1732,144204667,4-Chloro-3-methylphenol
1732,144208491,4-Chloro-3-methylphenol
1732,144210374,4-Chloro-3-methylphenol
1732,170466134,4-Chloro-3-methylphenol
1752,144213950,4-Nonylphenol
1752,144208439,4-Nonylphenol
1775,144204412,"5,5-Diphenylhydantoin"
1775,144209497,"5,5-Diphenylhydantoin"
1775,144210601,"5,5-Diphenylhydantoin"
1775,170464785,"5,5-Diphenylhydantoin"
1807,144211905,"5-Bromo-5-nitro-1,3-dioxane"
1892,144203998,Etofylline
1892,170466156,Etofylline
1923,144210184,8-Hydroxyquinoline
1923,144206634,8-Hydroxyquinoline
1923,144213967,8-Hydroxyquinoline
1935,144203624,Tacrine hydrochloride
1935,144212594,Tacrine
1935,170465420,Tacrine hydrochloride
1967,144203623,Docebenone
1967,170466471,Docebenone
1979,144204472,Aceclidine
1981,144207022,Acemetacin
1981,170466043,Acemetacin
1982,144211191,Acephate
1982,144209402,Acephate
1983,144209128,Acetaminophen
1983,144203948,Acetaminophen
1983,144210420,Acetaminophen
1983,170466797,Acetaminophen
1984,144204910,Acetaminosalol
1985,144204889,Acetarsol
1985,170466503,Acetarsol
1986,144208757,Acetazolamide
1986,144203629,Acetazolamide
1986,144213090,Acetazolamide
1986,170464692,Acetazolamide
1988,144209643,Acetochlor
1988,144211206,Acetochlor
1989,144209220,Acetohexamide
1989,144213052,Acetohexamide
1989,144203618,Acetohexamide
1989,170465411,Acetohexamide
1990,144204853,Acetohydroxamic acid
1990,170465439,Acetohydroxamic acid
1999,144206817,Acetylpheneturide
2000,144204526,Afalanine
2000,170466474,Afalanine
2005,144204930,Acexamic acid
2005,170466424,Acexamic acid
2006,144206724,Acitazanolast
2006,170466060,Acitazanolast
2018,144211514,4-Acetylaminophenylacetic acid
2018,144205373,4-Acetylaminophenylacetic acid
2018,170465954,4-Acetylaminophenylacetic acid
2022,144203626,Aciclovir
2022,170464640,Aciclovir
2040,144206000,Afloqualone
2051,251919837,Tyrphostin
2052,144203838,Tyrphostin 23
2052,170466860,Tyrphostin 23
2061,144203839,Tyrphostin 25
2075,144211459,2-Chloro-4-nitrobenzamide
2075,144204848,2-Chloro-4-nitrobenzamide
2075,170466191,2-Chloro-4-nitrobenzamide
2078,144211030,Alachlor
2078,144209403,Alachlor
2081,144203617,Alaproclate
2081,170466583,Alaproclate
2082,144204210,Albendazole
2082,144212617,Albendazole
2082,170464897,Albendazole
2083,144203817,Salbutamol sulfate
2083,144207998,Albuterol
2083,170465034,Salbutamol sulfate
2086,144211163,Aldicarb
2086,144209425,Aldicarb
2094,144208120,Allopurinol
2094,144203633,Allopurinol
2094,170464935,Allopurinol
2118,144205245,Alprazolam
2119,144203635,Alprenolol
2119,170465812,Alprenolol
2120,144204464,Alrestatin
2120,170466470,Alrestatin
2122,144204900,Althiazide
2122,170466165,Althiazide
2123,144209982,Hexamethylmelamine
2123,144203636,Altretamine
2123,170464714,Altretamine
2126,144211097,AM580
2130,144203619,Amantadine hydrochloride
2130,170464860,Amantadine hydrochloride
2140,144212246,Diatrizoic acid
2141,144203628,Amifostine
2141,170465179,Amifostine
2145,144203957,Aminoglutethimide
2145,144213805,Aminoglutethimide
2145,170465259,Aminoglutethimide
2148,144203896,Aminohippuric acid
2148,170465155,Aminohippuric acid
2149,144204928,4-Amino-3-hydroxybutyric acid
2151,144206903,Ampyrone
2151,170466661,Ampyrone
2153,144204378,Theophyllamine
2153,144209573,Theophylline
2153,144210348,Theophylline
2153,170466874,Theophyllamine
2155,144207924,2-Aminothiazole
2155,144204644,2-Aminothiazole
2157,144203634,Amiodarone hydrochloride
2157,170464920,Amiodarone hydrochloride
2159,144206943,Amisulpride
2159,170466480,Amisulpride
2161,144206029,Amlexanox
2161,170465365,Amlexanox
2164,144206419,Amobarbital
2170,144203615,Amoxapine
2170,144212669,Amoxapine
2170,170465376,Amoxapine
2176,144205780,Ampiroxicam
2176,170466020,Ampiroxicam
2187,144213873,Anastrozole
2187,144205791,Anastrozole
2187,170464923,Anastrozole
2194,144206028,Anethole trithione
2194,170465669,Anethole trithione
2196,144203637,Aniracetam
2196,170465854,Aniracetam
2197,144204923,Anisindione
2197,170465379,Anisindione
2201,144210140,9-Anthracenecarboxylic acid
2202,144210610,Anthralin
2202,144204666,Anthralin
2202,144209049,Anthralin
2202,170466655,Anthralin
2206,144203893,Phenazone
2206,144208798,Phenazone
2206,144213343,Phenazone
2206,170465510,Phenazone
2225,144206554,Aranidipine
2225,170465977,Aranidipine
2230,144203630,Arecoline
2230,170466659,Arecoline
2244,144210466,Aspirin
2244,144209315,Aspirin
2244,144203627,Aspirin
2244,170465039,Aspirin
2247,144204231,Astemizole
2247,144207293,Astemizole
2247,170465888,Astemizole
2249,144212743,Atenolol
2256,144211338,Atrazine
2256,144209184,Atrazine
2264,144204457,Azasetron hydrochloride
2264,170466158,Azasetron hydrochloride
2265,144213985,Azathioprine
2265,144203625,Azathioprine
2265,170464989,Azathioprine
2266,144209187,Nonanedioic acid
2266,144203614,Nonanedioic acid
2266,144213328,Nonanedioic acid
2266,170465358,Nonanedioic acid
2268,144209163,Azinphos-methyl
2268,144211246,Azinphos-methyl
2272,144208656,Azobenzene
2272,144210813,Azobenzene
2273,144206352,Azosemide
2273,170465933,Azosemide
2284,144203641,Baclofen
2284,170465099,Baclofen
2286,144209339,Bisphenol A diglycidyl ether
2286,144213632,Bisphenol A diglycidyl ether
2292,144205358,Bamethan
2294,144205203,Barbital
2294,170465829,Barbital
2310,144203903,Bemegride
2312,170465760,Bencyclane
2314,144208760,Bendiocarb
2314,144211094,Bendiocarb
2315,144203916,Bendroflumethiazide
2315,170465156,Bendroflumethiazide
2319,144211091,Benfluralin
2319,144209468,Benfluralin
2320,144204148,Benfotiamine
2320,170465987,Benfotiamine
2328,144209149,Bentazone
2328,144211059,Bentazone
2331,144207819,Benzamide
2333,144203592,Benzbromarone
2333,170465792,Benzbromarone
2336,144207908,Benzo(a)pyrene
2337,144211466,Benzocaine
2337,144203942,Benzocaine
2337,170465463,Benzocaine
2342,170465138,Benzquinamide
2343,144203938,Benzthiazide
2343,170465246,Benzthiazide
2345,144204925,Benzyl benzoate
2345,144213729,Benzyl benzoate
2345,144208535,Benzyl benzoate
2345,170465382,Benzyl benzoate
2346,144208389,Benzyl isothiocyanate
2347,144214018,Benzyl butyl phthalate
2347,144210189,Benzyl butyl phthalate
2348,144203604,Benzylhydrochlorothiazide
2351,144203640,Bepridil
2351,170465240,Bepridil
2355,144213572,5-Methoxypsoralen
2355,144209555,5-Methoxypsoralen
2361,144212341,"5,6-Benzoflavone"
2365,144204577,beta-Propiolactone
2369,144203642,Betaxolol hydrochloride
2369,170465448,Betaxolol hydrochloride
2374,144210703,"2,5-Di-tert-butylbenzene-1,4-diol"
2377,144204477,Bifemelane
2377,170465900,Bifemelane
2378,144204401,Bifonazole
2378,170465826,Bifonazole
2391,144207536,Bisacodyl
2391,144204023,Bisacodyl
2391,170464843,Bisacodyl
2406,144213236,Bithionol
2406,144207582,Bithionol
2406,144204383,Bithionol
2406,170465515,Bithionol
2435,144203850,Brimonidine
2435,170464941,Brimonidine
2444,170465292,Bromodiphenhydramine
2446,144204094,Bromopride
2446,170466299,Bromopride
2447,144205368,Bromisovalum
2447,170465828,Bromisovalum
2448,144204116,Bromperidol
2448,170465873,Bromperidol
2449,144206327,Seratrodast
2449,170465940,Seratrodast
2450,144205632,Bronopol
2450,144210446,Bronopol
2451,144207150,Brotizolam
2453,144204891,Broxyquinoline
2453,170466167,Broxyquinoline
2461,144206890,Bucolome
2465,170465825,Bufetolol
2466,144204073,Bufexamac
2466,170465813,Bufexamac
2468,144205717,Buformin
2468,170465982,Buformin
2471,144203639,Bumetanide
2471,170464735,Bumetanide
2475,170465802,Bupranolol
2477,144203643,Buspirone
2477,144212688,Buspirone
2477,170464909,Buspirone
2478,144209046,Busulfan
2478,144210637,Busulfan
2478,144204589,Busulfan
2478,170465232,Busulfan
2480,144203979,Butacaine
2480,170465459,Butacaine
2482,144203943,Butyl 4-aminobenzoate
2482,144207576,Butyl 4-aminobenzoate
2482,170465735,Butyl 4-aminobenzoate
2484,144205282,Butenafine
2484,170465093,Butenafine
2486,170466034,Butoctamide semisuccinate
2513,144211084,Dimethylarsinic acid
2515,144206697,Cadralazine
2515,170466021,Cadralazine
2518,144207846,Caffeic acid
2519,144208883,Caffeine
2519,144210330,Caffeine
2520,144203851,Verapamil
2520,170464904,Verapamil
2537,144207435,Camphor
2540,144212519,Candesartan cilexetil
2541,144206031,Candesartan
2541,170466386,Candesartan
2543,144207035,Cannabinol
2554,144210515,Carbamazepine
2554,144203655,Carbamazepine
2554,144209471,Carbamazepine
2554,170464712,Carbamazepine
2562,144204460,Carbetapentane
2562,170465562,Carbetapentane
2566,144210940,Carbofuran
2566,144209153,Carbofuran
2569,144206299,Carboquone
2576,144207821,Carisoprodol
2576,144203673,Carisoprodol
2576,170465436,Carisoprodol
2577,144205017,Carmofur
2577,170465833,Carmofur
2578,144203648,Carmustine
2578,170464880,Carmustine
2581,144204916,Carprofen
2581,170464799,Carprofen
2603,144212383,Carbonyl cyanide chlorophenylhydrazone
2662,144210916,Celecoxib
2662,144204686,Celecoxib
2662,144209162,Celecoxib
2662,170464693,Celecoxib
2682,144205162,1-Hexadecanol
2682,144210643,1-Hexadecanol
2682,170465348,1-Hexadecanol
2707,144205167,Chloral hydrate
2707,144207308,Chloral hydrate
2707,170465484,Chloral hydrate
2708,144213313,Chlorambucil
2708,144203647,Chlorambucil
2708,144208588,Chlorambucil
2708,170464770,Chlorambucil
2712,144205121,Chlordiazepoxide
2712,144205120,Chlordiazepoxide
2717,144212514,Chlormezanone
2717,144206702,Chlormezanone
2717,144203644,Chlormezanone
2717,170465161,Chlormezanone
2720,144203658,Chlorothiazide
2720,144208170,Chlorothiazide
2720,170465303,Chlorothiazide
2722,144205047,Chloroxine
2722,170465084,Chloroxine
2723,144204858,"4-Chloro-3,5-dimethylphenol"
2723,144212364,"4-Chloro-3,5-dimethylphenol"
2723,170465503,"4-Chloro-3,5-dimethylphenol"
2724,144204038,Chlorphenesin carbamate
2726,144203671,Chlorpromazine
2726,170465371,Chlorpromazine
2727,144203653,Chlorpropamide
2727,144213106,Chlorpropamide
2727,144208589,Chlorpropamide
2727,170464898,Chlorpropamide
2728,144211456,Chlorpropham
2728,144209064,Chlorpropham
2730,144210468,Chlorpyrifos
2730,144209581,Chlorpyrifos
2732,144203920,Chlorthalidone
2732,170464745,Chlorthalidone
2733,144203656,Chlorzoxazone
2733,170464957,Chlorzoxazone
2741,144204929,Chromocarb
2741,170466383,Chromocarb
2750,144205673,Ciglitizone
2750,170466553,Ciglitizone
2753,144203670,Cilostamide
2753,170466220,Cilostamide
2754,144203649,Cilostazol
2754,170465347,Cilostazol
2755,144204459,Cimaterol
2755,170466620,Cimaterol
2756,144208358,Cimetidine
2756,144203657,Cimetidine
2756,170464651,Cimetidine
2758,144209288,"1,8-Cineol"
2758,144213219,"1,8-Cineol"
2758,144204712,"1,8-Cineol"
2758,170465483,"1,8-Cineol"
2762,144203672,Cinoxacin
2762,170465414,Cinoxacin
2763,144208557,Ciprofibrate
2763,144205674,Ciprofibrate
2763,144213157,Ciprofibrate
2763,170466356,Ciprofibrate
2765,144203646,Cirazoline
2765,170466314,Cirazoline
2767,144204562,Cisplatin
2767,144207019,Cisplatin
2767,144209698,Cisplatin
2767,170464726,Cisplatin
2769,144204250,Cisapride
2769,170465200,Cisapride
2775,144211259,"5,7-Dimethoxy-2H-chromen-2-one"
2783,144205569,Clenbuterol
2783,170465955,Clenbuterol
2787,144206010,Clinofibrate
2787,170465771,Clinofibrate
2788,144203967,Clioquinol
2788,144207489,Clioquinol
2788,170465019,Clioquinol
2789,144206161,Clobazam
2793,170465785,Clocapramine
2794,144204067,Clofazimine
2795,144206265,Chlophedianol
2796,144210597,Clofibrate
2796,144203667,Clofibrate
2796,144209612,Clofibrate
2796,170465329,Clofibrate
2797,144204037,Clofibric acid
2797,144211997,Clofibric acid
2797,170466427,Clofibric acid
2799,144204942,Clofoctol
2799,170466615,Clofoctol
2800,144206661,Clomiphene
2800,170464951,Clomifene citrate
2801,144203668,Clomipramine hydrochloride
2801,170464702,Clomipramine hydrochloride
2803,144203669,Clonidine
2803,170464900,Clonidine
2804,144204026,Clopamide
2812,144203662,Clotrimazole
2812,144210733,Clotrimazole
2812,170464807,Clotrimazole
2816,170465787,Cloxazolam
2817,144205054,Cloxyquin
2817,170465523,Cloxyquin
2818,144203664,Clozapine
2818,170464853,Clozapine
2871,144204842,Coumaphos
2871,144209039,Coumaphos
2871,144211086,Coumaphos
2871,170466302,Coumaphos
2879,144206995,p-Cresol
2879,144210349,p-Cresol
2879,144206791,Cresol
2879,144207600,p-Cresol
2879,144208313,"m,p-Cresol mixture"
2879,170465495,p-Cresol
2883,144203997,Crotamiton
2883,144211121,Crotamiton
2883,170464851,Crotamiton
2893,144205278,Cyclandelate
2898,144205812,Cyclofenil
2898,170465970,Cyclofenil
2904,144204032,Cyclopenthiazide
2904,170466046,Cyclopenthiazide
2910,144203675,Cyclothiazide
2910,170465274,Cyclothiazide
2912,144211209,Cypermethrin
2912,144207128,Cypermethrin
2912,170466657,Cypermethrin
2913,144203663,Cyproheptadine hydrochloride
2913,170465127,Cyproheptadine hydrochloride
2943,144210697,Chlorthal-dimethyl
2943,144214032,Chlorthal-dimethyl
2944,144207125,"2,4-Diamino-6-hydroxypyrimidine"
2944,170466674,"2,4-Diamino-6-hydroxypyrimidine"
2950,144208184,Danthron
2950,144204673,Danthron
2950,170465532,Danthron
2955,144203922,Dapsone
2955,144210875,Dapsone
2955,144208545,Dapsone
2955,170464895,Dapsone
2969,144207082,Decanoic acid
2969,144210684,Decanoic acid
2969,144209407,Decanoic acid
2972,144205982,Deferiprone
2997,144207042,Desmethyldiazepam
2998,144211535,Nonivamide
2998,144203853,Nonivamide
2998,170466476,Nonivamide
3016,144209656,Diazepam
3016,144206622,Diazepam
3016,170464626,Diazepam
3017,144208607,Diazinon
3017,144211047,Diazinon
3017,144204628,Diazinon
3017,170466153,Diazinon
3019,144203683,Diazoxide
3019,170465328,Diazoxide
3023,144204861,Dibenzothiophene
3023,144213726,Dibenzothiophene
3023,170465511,Dibenzothiophene
3024,144207608,Dibromomethane
3025,144203932,Dibucaine
3025,170464829,Dibucaine
3026,144211297,Dibutyl phthalate
3026,144208927,Dibutyl phthalate
3030,144208554,Dicamba
3030,144210978,Dicamba
3031,144211108,Dichlobenil
3035,144208458,"p,p'-DDE"
3035,144210429,"p,p'-DDE"
3036,144210387,"p,p'-DDT"
3036,144204627,"p,p'-DDT"
3036,144208693,"p,p'-DDT"
3036,170465529,"p,p'-DDT"
3037,144208627,Dichlorophen
3037,144204663,Dichlorophen
3037,144213330,Dichlorophen
3037,170465475,Dichlorophen
3038,144203952,Diclofenamide
3039,144204603,Dichlorvos
3039,144208815,Dichlorvos
3039,144211157,Dichlorvos
3039,170466226,Dichlorvos
3042,144207120,Dicyclomine
3042,170464896,Dicyclomine
3051,251919875,Diethyl dicarbonate
3053,144203682,Pentetic acid
3053,170465150,Pentetic acid
3054,144204556,Diethylstilbestrol
3054,170464803,Diethylstilbestrol
3055,144206624,Diphenidol
3055,170465280,Diphenidol
3059,144204149,Diflunisal
3059,170464956,Diflunisal
3073,144210792,Diisopropyl methylphosphonate
3073,144208910,Diisopropyl methylphosphonate
3074,144204139,Dilazep
3074,170465831,Dilazep
3080,144203565,Dimercaprol
3081,144204030,Dimethadione
3081,144207694,Dimethadione
3081,170466460,Dimethadione
3082,144209444,Dimethoate
3082,144211478,Dimethoate
3089,144206752,Fonazine
3090,144213306,"1,2-Dimethyl-5-nitroimidazole"
3090,144208816,"1,2-Dimethyl-5-nitroimidazole"
3090,170466369,"1,2-Dimethyl-5-nitroimidazole"
3091,170465773,Dimorpholamine
3092,144211637,Zoalene
3092,144204927,Zoalene
3092,170465727,Zoalene
3100,144203678,Diphenhydramine hydrochloride
3100,170466857,Diphenhydramine hydrochloride
3102,144207014,Benzophenone
3102,144209623,Benzophenone
3102,144210378,Benzophenone
3102,170465649,Benzophenone
3108,144203684,Dipyridamole
3108,170464694,Dipyridamole
3109,144205684,Dipyrithione
3109,170465699,Dipyrithione
